match_run_id,lead_id,pos_id,warehouse_number,match_type,lifecycle_state,primary_transaction,final_score,combined_field_score,full_address_score,business_name_score,embedding_model,lead_fiscal_year,lead_fiscal_period,lead_week,pos_fiscal_year,pos_fiscal_period,pos_week,lead_business_name,pos_business_name,order_amount,created_date
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000001,115,Fuzzy,Closed - Match,True,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000002,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000003,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000004,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000005,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000006,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000007,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,12,1,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEAD7F621C5100000001,POS1E061DA600000013,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,4,TEST - 06 - Duncan-Collins,TEST - 06 - Duncan-Collins,2851.52,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEADE98BBA4000000007,POS1E061DA600000211,115,Fuzzy,Closed - Match,True,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Gilbert Inc,TEST - 06 - Gilbert Inc,4628.59,2026-06-20 22:26:18.587199+00:00
jobchain-115-20260620215920,LEADE98BBA4000000007,POS1E061DA600000212,115,Fuzzy,Closed - Match,False,100.0,100.0,100.0,100.0,gemini-embedding-001,,,0,2026,10,1,TEST - 06 - Gilbert Inc,TEST - 06 - Gilbert Inc,4628.59,2026-06-20 22:26:18.587199+00:00
